material,sub_material,bin,instructions
E-Waste,head phones,dropoff,Head phones are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,ice cream makers,dropoff,Ice cream makers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,kettles,dropoff,Kettles are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,large household appliances,dropoff,"Large household appliances like fridges and freezers, washing machines, clothes dryers and dishwashers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
E-Waste,laundry irons,dropoff,Laundry irons are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,lawn mowers,dropoff,"Lawn mowers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
E-Waste,microwave ovens,dropoff,Microwave ovens are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more.
E-Waste,mobile phones,dropoff,"Mobile phones are classified as e-waste and cannot be placed in any kerbside collection bins. Drop-off old mobile phones, batteries and accessories at mobile phone dealers participating in MobileMuster. Find your nearest MobileMuster drop off outlet. It is good practice to factory reset your phone in the settings and remove the sim card to protect your information."
E-Waste,ovens,dropoff,"Ovens are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
E-Waste,printers,dropoff,Printers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,radios,dropoff,Radios are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,rice cookers,dropoff,Rice cookers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centre. Take your e-waste to a better place. Find out more.
E-Waste,sandwich presses,dropoff,Sandwich Presses are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,scanners,dropoff,Scanners are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,sewing machines,dropoff,Sewing machines are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,slow cookers,dropoff,Slow cookers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,steam mops,dropoff,Steam mops classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,stoves,dropoff,"Stoves are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively, residents are now able to have their bulky household items picked up from their property.  For more details on booking and what items can be included visit the hard waste page."
E-Waste,televisions,dropoff,"Televisions are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Why recycle TVs?  TVs containing cathode ray tubes are one of the leading causes of lead contamination in municipal waste streams. They can containup tofourkilograms of toxic lead, mercury, cadmium and arsenic. RecyclingTVs diverts dangerous waste from landfill and recovers resources such asprecious metals, plastics and glass."
E-Waste,toasters,dropoff,Toasters are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more.
E-Waste,vacuum cleaners,dropoff,Vacuum cleaners are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,vhs video players,dropoff,VHS video players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,washing machines,dropoff,"Washing machines are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,beds,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal.   Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,bedside tables,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,cabinets,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,chairs,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,"couches, sofas and lounge suites",dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal.   Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,dressers,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,furniture,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,mattresses,dropoff,"Have them collected free as part of our hard waste service - you can book two mattresses or mattress-style bed bases per collection, twice a year. Drop off at the Geelong or Drysdale Resource Recovery centre. A recycling fee of $25.50 applies. Mattress can now be included as part of a hard waste collection. Make a booking. Around 90 per centof the contents of each mattressis recycled:  The foam and wadding from inside the mattress is reused as carpet underlay.  Timber is processed into a reusable wood chip and used in the manufacture of particleboard, animal bedding and mulch.  Steel springs are sent to scrap metal merchants and melted down into new steel."
Furniture,nursery and baby furniture,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Local charityGeelong Mumstakes donations of many baby and nursery items to give to other families in need. Volunteers collect donations of cots, prams, car seats, clothes and other baby items. They then work with local social service agencies and Maternal Health Nurses, who request items for local families who are facing a variety of challenges. Donated items must meet current Victorian safety standards and must be in great condition - a good question to ask is would you be happy to pass on to a close friend. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,outdoor furniture - metal,dropoff,"Free to take to the Drysdale or Geelong Resource Recovery Centres for recycling. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,outdoor furniture - plastic,dropoff,"Drop off for free at the Drysdale or Geelong Resource Recovery Centre for recycling. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,sideboards,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,tables,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Furniture,wardrobes,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Garden Organics,branches,green,Put in your garden organics green lid bin. Each branch should be no larger than 10cm x 30cm. Excess green material such as branches can be taken to Drysdale or Geelong Resource Recovery Centre. Fees will apply.
Garden Organics,flowers,green,Put in your garden organics green lid bin.
Garden Organics,garden prunings,green,Put in your garden organics green lid bin. Excess green waste can be taken to Drysdale or Geelong Resource Recovery Centre. Fees will apply based on volume. See related information opposite for a schedule of fees.
Garden Organics,grass clippings,green,Put in your garden organics green lid bin. Excess green waste can be taken to Drysdale or Geelong Resource Recovery Centre. Fees will apply. Find out what can go into your green waste bin.
Garden Organics,leaves,green,Put in your garden organics green lid bin. Excess green material can be taken to Drysdale or Geelong Resource Recovery Centre. Fees will apply.
Garden Organics,noxious weeds,green,"Noxious weeds can be placed in your garden waste bin. Garden waste undergoes a pasteurisation process, where it is heated to high temperatures which ensure the seeds can not germinate. Noxious and declared weeds can also be placed in the rubbish bin, but put them in a plastic bag and tie the top, to ensure they are not spread further once they get to landfill."
Garden Organics,sawdust,green,"Can be placed in your garden organics bin. Sawdust produced from MDF, chipboard or other treated timber should be bagged up and put in your rubbish bin."
Garden Organics,small logs,green,Put in your garden organics green lid bin. (10cm X 30cm maximum). Excess green organics can be taken to Drysdale or Geelong Resource Recovery Centre. Fees will apply.
Garden Organics,treated pine,red,Put in your red lid garbage bin. Alternatively it can be taken to the Drysdale or Geelong Resource Recovery Centres. Disposal fees apply.
Garden Organics,weeds,green,Put in your garden organics green lid bin.
Glass,broken glass,red,Wrap in newspaper and place in thein the rubbish bin.
Glass,christmas decorations,red,Broken ornaments(glass or plastic) cannot be recycled and must be placed in the general rubbish bin. Wrap broken glass ornaments in paper.
Glass,cosmetic jars,yellow,Empty cosmetic jars can be placed in the recycling bin.
Glass,deodorant roll-on,yellow,Place in yourrecycling bin.
Glass,drinking glasses,red,Put in your rubbish bin.
Glass,energy saving lights,dropoff,Energy saving lights and other compact fluorescent lights (CFLs) and tubes contain a small amount of mercury. They cannot be placed in your household recycling bin. To recycle these lights drop them off at the Geelong Resource Recovery Centre. This is a free service and is part of the City's recycling program.
Glass,fluorescent tubes and cfl globes,dropoff,Drop off fluorescent tubes for free at Geelong Resource Recovery Centre in Douro St North Geelong or the Drysdale Resource Recovery Centre. Drop off compact fluorescent lights (CFLs) at Geelong Resource Recovery Centre. To dispose of incandescent globes-wrap them in paper and placed in your household rubbish bin. Recycled fluorescent lights go on to be part of many different products: Aluminium from the tube ends is separated and recycled into new aluminium products such as drink cans. Glass is recycled into glass wool for home insulation batts. The mercury is distilled from the powders then re-used in the manufacture of dental amalgam. Phosphor powder is used to manufacture agricultural fertilizer.
Glass,glass bottles and jars,yellow,"Glass bottles and jars can be placed in your yellow lid recycling bin.  Lids should be removed and placed separatelyin your recycling bin.    Screw-cap closures on wine bottles generally leave a metal collar around the bottle neck after you remove the lid. This will be removed when the glass is processed, so you should not attempt to remove it at home."
Glass,light globes,red,Incandescent globes should be wrapped in paper and placed in your household rubbish bin. Energy saving lights and other compact fluorescent lights (CFLs) and tubes contain a small amount of mercury. They can not be placed in your household recycling bin. To recycle these lights - dropped them off at the Geelong Resource Recovery Centre. This is a free service and is part of the City's recycling program.
Glass,medicine bottles,yellow,Empty medicine bottles can be placed in the recycling bin.
Glass,mirror,red,Wrap in newspaper and put in your rubbish bin.
Glass,perfume bottles and jars,red,"Perfume bottles must go in your red landfill bin.  They are made of a mix of different glasses, which means they can't be recycled through your yellow bin.  You can also check with the store or manufacturer, as some brands have a recycling program for their perfume."
Glass,"thermometer, mercury",dropoff,"Can be dropped off for free at a Detox your Home event. For a list of upcoming Detox Your Home events, visitSustainability Victoria. To get advance notice subscribe to theRethink Your Rubbishmonthly update. Find out how to clean up mercury spills in your home at the EPA Victoria website."
Glass,vitamin bottles,yellow,Place in theyellow lid recycling bin.
Glass,window glass,red,Place in the rubbish bin. 
Metal,aerosol cans,yellow,"Empty aerosol cans can be placed in the recycling bin. Empty aerosol cans are one of the easiest of all the steel cans to recycle. However on average only 35 per cent are being recycled.  Aerosol cans that still contain product can be recycled through the annualDetox Your Home event, which is offered by Sustainability Victoria. To get advance warning of the next local event, subscribe to the Rethink Your Rubbish e-news."
Metal,bbq bottles,dropoff,"Drop off barbecue gas bottles (up to 9kg) for free at the Geelong or Drysdale Resource Recovery Centres. Safe Storage of Your Gas Bottle: It is best to store gas bottles outdoors in a well ventilated space. Gas bottles should never be stored indoors. Gas bottles should always be stored upright. Do not store gas bottles near an ignition source. If you store your BBQ or patio heater indoors, when not in use, you should always detach the gas bottle first and store it separately outdoors."
Metal,bicycles,dropoff,Can be dropped off for free at the Drysdale or Geelong Resource Recovery centres. Find out what you can drop off for free at the Geelong Resource Recovery centre.
Metal,binders,red,Place in the rubbish bin.
Metal,biscuit tins,yellow,Metal biscuit tins can be placed in your recycling bin.
Metal,blenders,dropoff,Blenders including stick blenders are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Metal,bread bag wire ties,red,"Thesewire ties cannot be recycled and should be placed in your rubbishbin. If you like to make your own holiday season decorations, bread bag wire ties can be reused to help fix them to trees or door handles."
Metal,bread makers,dropoff,Bread Makers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Metal,cd players,dropoff,CD players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Metal,chicken wire,dropoff,Can be dropped off at the Geelong or Drysdale Resource Recovery Centre at no cost.
Metal,coat hangers - wire,dropoff,Wire coat hangers can be donated to selected opportunity and voluntary shops.  Damaged wire coat hangers can be disposed of in your household garbage bin.   These are not recyclable as they can cause jamming issues at recycling facilities.
Metal,coffee machines,dropoff,"If the coffee machine is still in good condition, contact your local op shop and ask them whether they will accept it or try selling or donating through an online marketplace. If the coffee machine no longer works, you may be able to have it repaired by one of the local appliance repair businesses or repair cafes operating across Geelong. If repair is not an option the air fryer is an e-waste item and must therefore be dropped off at yourlocal resource and recovery centre. This is a free service. Never place an unwanted coffee machine into your kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more."
Metal,deodorant cans,yellow,Empty deodorant cans can be placed in your yellow lid recycling bin.
Metal,electric (power) tools,dropoff,"If the power tool no longer works, you may be able to have it repaired through the business you purchased it from, or a specialist repairer. If repair is not an option, the power tool is an e-waste item and must therefore be dropped off at yourlocal resource and recovery centre. This is a free service. Neverthrow an unwanted power tool into your red, yellow or green bin for collection. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more."
Metal,electric fans,dropoff,Electric fans are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Metal,electric heaters,dropoff,Electric heaters are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Metal,fencing wire,dropoff,Drop off at the Geelong or Drysdale Resource Recovery Centre. There is no charge.
Metal,frypan,dropoff,Drop off in the metal bins at the Drysdale of Geelong Resource Recovery centres. These items can not be recycled in your kerbside recycling bin.
Metal,hairdryers,dropoff,Hairdryers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Metal,hairspray aerosol cans,yellow,Empty hairspray aerosol cans can be placed in the recycling bin.
Metal,hand food mixers,dropoff,Hand food mixers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Metal,hot water service,dropoff,"Drop it off for free at either the Drysdale or Geelong Resource Recovery Centre. Alternatively, residents are now able to have their bulky household items picked up from their property.  For more details on booking and what items can be included visit the hard waste page."
Metal,insect aerosol cans,yellow,Empty insect aerosol cans can be placed in your yellow lid recycling bin.
Metal,large household appliances,dropoff,"Large household appliances like fridges and freezers, washing machines, clothes dryers and dishwashers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Metal,lawn mowers,dropoff,"Lawn mowers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Metal,metal bottle tops and lids,yellow,Place in the recycling bin
Metal,metal cutlery,dropoff,Place in the metal bins at the Drysdale and Geelong Resource Recovery Centres.   Metal cutlery cannot be recycled in your recycling bin.
Metal,metal lids,yellow,Put metal lids in the recycling bin. Remove from jars and bottles.
Metal,metal pencil case and biscuit tins,yellow,"Reuse it if you can, otherwise put in your yellow recycling bin."
Metal,metal pots and pans,dropoff,Drop off for free at the Drysdale or Geelong Resource Recovery Centres. Metal pots and pans cannot go into the kerbside recycling bin.
Metal,oil heaters,dropoff,"Drop off for free at the Drysdale or Geelong Resource Recovery Centres Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Metal,outdoor furniture - metal,dropoff,"Free to take to the Drysdale or Geelong Resource Recovery Centres for recycling. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Metal,ovens,dropoff,"Ovens are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Metal,pet  food cans,yellow,"Pet  food cans  can be placed in your yellow lid recycling bin. Just give them a quick rinse. Unopened cans of cat food can be donated to Geelong Animal Welfare Society (GAWS). You can drop off up to 0.5 cubic metres of sorted excess recycling at the Geelong or Drysdale Resource Recovery Centres per visit for free. GAWS accept a wide range of pet related items, you can find out more here."
Metal,photographic film negatives,dropoff,"Photographic film negativescan be recycled by dropping them off at the Wurriki Nyal Civic Precinct at 137-149 Mercer Street, Geelong, during opening hours. They should be placed in the dedicated x-ray slot in the recycling station located in the foyer.   X-rays and photographic film negatives are recycled here in Australia. They are a valuable source of silver and plastic."
Metal,saucepans,dropoff,Place in the metal bins at the Drysdale and Geelong Resource Recovery Centres. Metal saucepans cannot be recycledin your kerbside recycling bin.
Metal,scrap metal,dropoff,"Drop off for free at the Drysdale or Geelong Resource Recovery Centres. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Metal,steel cans,yellow,Steel cans should be rinsed and placed in your yellow-topped recycling bin. Steel cans can be dropped off at either the Geelong or the Drysdale Resource Recovery Centres for free.   Steel cans are recycled by SIMS Metal.
Metal,stoves,dropoff,"Stoves are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively, residents are now able to have their bulky household items picked up from their property.  For more details on booking and what items can be included visit the hard waste page."
Metal,tinsel,dropoff,"Tinsel cannotbe recycled, so reuse it for crafts or donate it to a causethatneeds more decorations. Otherwise, it goes in the general rubbish bin."
Metal,tyre rims,dropoff,Metal tyre rims (without the rubber tyre) can be dropped off free at our Geelong or Drysdale Resource Recovery Centres. See the full list of what you can bring to our Resource Recovery Centres here.
Metal,washing machines,dropoff,"Washing machines are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Metal,wire,dropoff,Wire can be taken to either the Geelong or Drysdale Resource Recovery centre. Disposal fees apply.
Metal,wire coat hangers,dropoff,Place in the metal bins at the Drysdale and Geelong Resource Recovery Centres.  Wire coat hangers cannot be recycledin your recycling bin.
Metal,x-rays,dropoff,"X-rays can be recycled by dropping them off at the Wurriki Nyal Civic Precinct at 137-149 Mercer Street, Geelong, during opening hours. There is a dedicated x-ray slot in the recycling station located in the foyer. X-rays are recycled here in Australia. They are a valuable source of silver and plastic."
Organic Matter,animal (droppings),red,Put in the rubbish bin.
Organic Matter,food scraps,red,"Compost it for your garden through our subsidised home compost program (see link below). Otherwise, put in your red landfill bin. Do not put food waste into your green garden waste bin. Food waste requires specialised facilities and EPA licenses to process. At this stage there are no facilities in the Geelong area with the capacity to take all of Geelong’s garden and food organics. We are working on developing new facilities to allow a food waste collection for all of Greater Geelong in 2026. Get started composting at home by buying a subsidised worm farm or home compost system."
Organic Matter,food waste,red,"Compost it for your garden through our subsidised home compost program (see link below). Otherwise, put in your red landfill bin. Do not put food waste into your green garden waste bin. Food waste requires specialised facilities and EPA licenses to process. At this stage there are no facilities in the  Geelong area with the capacity to take all of Geelong’s garden and food organics. We are working on developing new facilities to allow a food waste collection for all of Greater Geelong in 2026. Get started composting at home bybuying a subsidised worm farm or home compost system. High-quality, still-edible surplus fresh food may be donated to organisations like SecondBite, which redistribute it to community food programs."
Organic Matter,fruit,red,Place in the red lid rubbish bin. At present food waste cannot be included in the garden organics bin because the composting facility used by City of Greater Geelong does not have an EPA licence to process food organics. Most councils allowing food organics into their green bins  are close to a commercial compost facility that is able to process this material under a specific EPA composting licence. This is especially the case with Melbourne Metropolitan councils where the population density allows private composting operators to run a viable service for food organics. For the small number of non-metro councils maintaining this service they are a long distance from a processing which adds significant cost to maintain this service. At this stage there are no facilities in the Geelong area with the capacity to take all of Geelong’s garden and food organics. The City recognises that allowing food organics into the green bin may have benefits and will be reviewing whether this is viable for the City in the future.
Organic Matter,potting mix and soil,green,"Potting mix in small quantities (from one or two medium pots) can go in your green garden waste bin. Remember to remove any packaging, tags and twine first. Find out what else you can put in your garden waste bin here:https://www.geelongaustralia.com.au/gardenorganics/article/item/8d00ed657fb347d.aspx"
Organic Matter,tea bags,red,Add to your compost bin or put in the red lid garbage bin.
Organic Matter,vegetable peels,red,Place in the household compost bin or rubbish bin. At present food waste cannot be included in the garden organics bin because the composting facility used by City of Greater Geelong does not have an EPA licence to process food organics. Most councils allowing food organics into their green bins  are close to a commercial compost facility that is able to process this material under a specific EPA composting licence. This is especially the case with Melbourne Metropolitan councils where the population density allows private composting operators to run a viable service for food organics. For the small number of non-metro councils maintaining this service they are a long distance from a processing which adds significant cost to maintain this service. At this stage there are no facilities in the Geelong area with the capacity to take all of Geelong’s garden and food organics. The City recognises that allowing food organics into the green bin may have benefits and will be reviewing whether this is viable for the City in the future.
Paper ,baking paper,red,"Baking paper must be placed in the red landfill bin.  You can coat your baking tins and trays with butter and flour as a great low-waste alternative that will prevent cakes and cookies from sticking. While silicone mats are also a reusable alternative, there is currently no option for recycling them if they become damaged."
Paper ,books,yellow,Remove the covers and place in the recycling bin.
Paper ,clean deli/butcher paper,yellow,"Clean Deli/butcher paper can be placed in your yellow lid recycling bin.  Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Paper ,confectionery wrapper,red,"Confectionary wrappers should be placed in the red landfill bin. While confectionary wrappers could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their website for more information."
Paper ,deli paper,red,Place in the rubbish bin
Paper ,envelopes,yellow,Envelopes can be placed in your yellow lid recycling bin. This include window faced envelopes.
Paper ,fish & chips paper,red,Place in your rubbish bin.
Paper ,gift wrapping paper,yellow,Gift wrapping paper can be placed in your yellow lid recycling bin.
Paper ,juice carton,red,"Place in your kerbside rubbish bin.  Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin. There is no facility in Australia that can separate the different components."
Paper ,"junk mail, brochures and pamphlets",yellow,"Junk mail, brochures and pamphlets can all be placed in the yellow recycling bin.   Placing a 'no junk mail' sign on your letterbox is a great way to avoid receiving unwanted junk mail and printed material."
Paper ,laminated paper,red,Laminated paper is not recyclable. Please dispose of in your household rubbish bin.
Paper ,long life containers,red,"Place in your kerbside rubbish bin. Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin.   There is no facility in Australia that can separate the different components."
Paper ,magazines,yellow,Magazines can be placed in your yellow lid recycling bin.
Paper ,napkins,red,Place in the rubbish bin.
Paper ,newspapers,yellow,"Newspapers can be placed in your yellow lid recycling bin. Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Paper ,office paper,yellow,"Office paper can be placed in your yellow lid recycling bin. Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Paper ,padded envelope bags,red,Place in the rubbish bin
Paper ,paper bags,yellow,"Paper bags can be placed in your yellow lid recycling bin. Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Paper ,paper plates,yellow,Clean paper plates can be placed in your yellow lid recycling bin.
Paper ,paper receipts,yellow,Place in your recycling bin.
Paper ,paper towel,red,Place in the rubbish bin. Paper towel and tissue can also be put in your home compost bin if you have one.
Paper ,phone books,yellow,"Phone books can be placed in your yellow lid recycling bin. Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Paper ,prima drink cartons,red,"Place in your kerbside rubbish bin. Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin. There is nofacility in Australia that can separate the different components."
Paper ,serviettes,red,Place in the rubbish bin.
Paper ,shredded paper,red,Place in the rubbish bin.Small pieces of paper cannot be sorted at a recycling facility and contaminate the other recyclables.
Paper ,tetra pak,red,"Place in your kerbside rubbish bin. Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin.  There is nofacility in Australia that can separate the different components."
Paper ,tissues,red,Put in the red lid rubbish bin.
Paper ,wrapping paper,yellow,Wrapping paper can be placed in your yellow-lid recyclingbin.
